"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jul-2025","EQ","1,098.90","1,100.70","1,085.90","1,098.90","1,096.00","1,095.60","1,093.18","1,262.60","882.90","9,71,874","1,06,24,28,657.80","63,068"
"30-Jun-2025","EQ","1,124.00","1,126.70","1,090.60","1,124.30","1,098.00","1,098.90","1,099.04","1,262.60","882.90","18,36,286","2,01,81,43,048.30","71,404"
"27-Jun-2025","EQ","1,144.00","1,147.20","1,120.00","1,145.40","1,121.00","1,124.30","1,129.51","1,262.60","882.90","6,22,376","70,29,79,860.10","36,488"
"26-Jun-2025","EQ","1,122.00","1,150.00","1,119.10","1,126.50","1,148.70","1,145.40","1,135.96","1,262.60","882.90","22,36,678","2,54,07,70,243.30","80,197"
"25-Jun-2025","EQ","1,107.70","1,133.90","1,106.60","1,107.70","1,125.00","1,126.50","1,126.71","1,262.60","882.90","15,64,437","1,76,26,64,860.00","58,691"
"24-Jun-2025","EQ","1,112.00","1,116.90","1,104.40","1,109.40","1,110.50","1,107.70","1,109.96","1,262.60","882.90","11,34,930","1,25,97,23,646.50","47,724"
"23-Jun-2025","EQ","1,090.00","1,112.00","1,090.00","1,100.20","1,110.80","1,109.40","1,102.86","1,262.60","882.90","7,58,904","83,69,62,343.70","32,440"
"20-Jun-2025","EQ","1,088.30","1,103.00","1,082.70","1,088.30","1,090.90","1,100.20","1,096.15","1,262.60","882.90","20,84,108","2,28,44,84,613.10","63,390"
"19-Jun-2025","EQ","1,065.20","1,091.60","1,061.60","1,065.20","1,088.00","1,088.30","1,084.08","1,262.60","882.90","28,16,398","3,05,32,12,071.50","1,02,016"
"18-Jun-2025","EQ","1,066.40","1,075.80","1,059.00","1,071.60","1,063.60","1,065.20","1,066.31","1,262.60","882.90","5,45,933","58,21,36,320.30","27,269"
"17-Jun-2025","EQ","1,083.40","1,094.00","1,065.50","1,083.40","1,070.10","1,071.60","1,073.15","1,262.60","882.90","6,64,517","71,31,27,111.50","24,742"
"16-Jun-2025","EQ","1,074.00","1,085.00","1,073.60","1,078.40","1,084.00","1,083.40","1,079.86","1,262.60","882.90","4,39,929","47,50,62,127.30","25,251"
"13-Jun-2025","EQ","1,066.60","1,080.60","1,066.60","1,085.10","1,080.60","1,078.40","1,074.97","1,262.60","882.90","6,14,108","66,01,48,332.00","35,858"
"12-Jun-2025","EQ","1,108.90","1,108.90","1,080.00","1,104.30","1,081.00","1,085.10","1,089.24","1,262.60","882.90","9,41,294","1,02,52,97,807.50","55,146"
"11-Jun-2025","EQ","1,115.20","1,119.00","1,102.00","1,115.10","1,103.50","1,104.30","1,107.60","1,262.60","882.90","8,62,130","95,48,91,058.80","33,399"
"10-Jun-2025","EQ","1,121.20","1,128.60","1,112.70","1,121.20","1,115.00","1,115.10","1,118.57","1,262.60","882.90","4,60,271","51,48,47,521.90","24,438"
"09-Jun-2025","EQ","1,115.60","1,122.50","1,110.20","1,115.60","1,120.10","1,121.20","1,116.72","1,262.60","882.90","4,67,790","52,23,91,457.90","24,598"
"06-Jun-2025","EQ","1,111.90","1,123.90","1,109.40","1,111.90","1,114.80","1,115.60","1,115.93","1,262.60","882.90","5,03,186","56,15,21,103.40","23,369"
"05-Jun-2025","EQ","1,124.50","1,127.10","1,108.20","1,124.40","1,112.40","1,111.90","1,116.55","1,262.60","882.90","10,44,950","1,16,67,42,463.00","40,600"
"04-Jun-2025","EQ","1,110.00","1,125.90","1,110.00","1,114.60","1,125.90","1,124.40","1,122.61","1,262.60","882.90","6,35,699","71,36,41,805.30","39,554"
"03-Jun-2025","EQ","1,116.10","1,123.20","1,110.10","1,120.40","1,112.10","1,114.60","1,114.32","1,262.60","882.90","7,95,876","88,68,62,968.10","47,584"
"02-Jun-2025","EQ","1,100.00","1,125.00","1,099.20","1,106.30","1,116.40","1,120.40","1,117.04","1,262.60","882.90","9,07,133","1,01,33,02,216.60","39,652"
"30-May-2025","EQ","1,109.80","1,119.80","1,101.60","1,109.80","1,109.00","1,106.30","1,107.21","1,262.60","882.90","24,75,644","2,74,10,45,779.30","54,089"
"29-May-2025","EQ","1,115.70","1,118.10","1,098.20","1,121.40","1,105.60","1,109.80","1,106.62","1,262.60","882.90","25,56,089","2,82,86,27,044.60","86,014"
"28-May-2025","EQ","1,138.40","1,138.80","1,119.00","1,138.40","1,120.10","1,121.40","1,124.75","1,262.60","882.90","4,92,483","55,39,19,274.90","29,438"
"27-May-2025","EQ","1,146.60","1,149.80","1,127.20","1,146.30","1,136.50","1,138.40","1,136.09","1,262.60","882.90","9,01,912","1,02,46,50,117.90","44,470"
"26-May-2025","EQ","1,137.00","1,153.40","1,137.00","1,140.80","1,147.00","1,146.30","1,146.20","1,262.60","882.90","6,16,370","70,64,86,094.90","34,492"
"23-May-2025","EQ","1,126.50","1,152.00","1,124.00","1,126.70","1,138.70","1,140.80","1,143.51","1,262.60","882.90","8,97,235","1,02,59,95,229.10","38,513"
"22-May-2025","EQ","1,138.80","1,138.80","1,115.50","1,138.80","1,128.50","1,126.70","1,126.51","1,262.60","882.90","14,14,277","1,59,31,98,721.40","68,486"
"21-May-2025","EQ","1,128.50","1,153.50","1,123.80","1,128.50","1,139.10","1,138.80","1,141.28","1,262.60","882.90","6,19,421","70,69,32,124.10","32,250"
"20-May-2025","EQ","1,149.00","1,155.20","1,126.80","1,149.30","1,131.80","1,128.50","1,134.23","1,262.60","882.90","8,25,451","93,62,52,409.00","42,548"
"19-May-2025","EQ","1,168.00","1,169.70","1,143.00","1,168.00","1,150.00","1,149.30","1,153.81","1,262.60","882.90","7,86,128","90,70,40,588.80","54,292"
"16-May-2025","EQ","1,154.90","1,173.50","1,144.00","1,147.20","1,170.00","1,168.00","1,160.11","1,262.60","882.90","13,36,653","1,55,06,66,409.40","53,338"
"15-May-2025","EQ","1,120.40","1,159.20","1,105.50","1,120.40","1,146.00","1,147.20","1,137.25","1,262.60","882.90","20,64,096","2,34,73,90,791.80","90,774"
"14-May-2025","EQ","1,118.60","1,128.90","1,115.80","1,118.60","1,120.50","1,120.40","1,121.28","1,262.60","882.90","13,86,813","1,55,49,99,010.00","51,043"
"13-May-2025","EQ","1,145.30","1,150.30","1,116.20","1,145.60","1,120.60","1,118.60","1,125.54","1,262.60","882.90","10,96,797","1,23,44,84,496.10","50,065"
"12-May-2025","EQ","1,123.00","1,155.00","1,123.00","1,113.70","1,144.50","1,145.60","1,143.37","1,262.60","882.90","7,48,637","85,59,65,948.00","39,678"
"09-May-2025","EQ","1,098.00","1,118.60","1,086.40","1,116.00","1,111.00","1,113.70","1,105.34","1,262.60","882.90","8,15,694","90,16,20,671.60","43,786"
"08-May-2025","EQ","1,136.00","1,140.00","1,107.50","1,146.00","1,113.60","1,116.00","1,117.65","1,262.60","882.90","26,92,162","3,00,89,06,216.00","1,00,148"
"07-May-2025","EQ","1,140.00","1,162.30","1,136.40","1,155.30","1,145.50","1,146.00","1,150.86","1,262.60","882.90","17,92,683","2,06,31,22,316.30","54,089"
"06-May-2025","EQ","1,161.50","1,173.50","1,152.60","1,161.50","1,154.00","1,155.30","1,161.38","1,262.60","882.90","13,82,140","1,60,51,83,177.70","51,329"
"05-May-2025","EQ","1,155.50","1,173.60","1,153.00","1,156.80","1,163.40","1,161.50","1,163.60","1,262.60","882.90","13,59,727","1,58,21,79,656.60","65,349"
"02-May-2025","EQ","1,157.00","1,176.20","1,151.00","1,165.80","1,153.00","1,156.80","1,162.10","1,262.60","882.90","10,42,342","1,21,13,10,589.40","50,602"
"30-Apr-2025","EQ","1,174.70","1,180.50","1,152.40","1,168.90","1,160.00","1,165.80","1,166.76","1,262.60","882.90","14,77,319","1,72,36,73,530.20","64,157"
